ccr,precision,recall
5.000000074505805969e-02,9.931640625000000000e-01,0.000000000000000000e+00
1.000000014901161194e-01,9.775390625000000000e-01,0.000000000000000000e+00
1.500000059604644775e-01,9.140625000000000000e-01,0.000000000000000000e+00
2.000000029802322388e-01,9.331054687500000000e-01,8.928571827709674835e-03
2.500000000000000000e-01,9.184570312500000000e-01,8.928571827709674835e-03
3.000000119209289551e-01,8.984375000000000000e-01,8.928571827709674835e-03
3.499999940395355225e-01,8.935546875000000000e-01,2.678571455180644989e-02
4.000000059604644775e-01,8.730468750000000000e-01,4.464285820722579956e-02
4.499999880790710449e-01,8.540039062500000000e-01,6.250000000000000000e-02
5.000000000000000000e-01,8.203125000000000000e-01,1.428571492433547974e-01
5.500000119209289551e-01,8.251953125000000000e-01,1.517857164144515991e-01
6.000000238418579102e-01,7.871093750000000000e-01,1.607142835855484009e-01
6.499999761581420898e-01,7.534179687500000000e-01,2.321428507566452026e-01
6.999999880790710449e-01,7.416992187500000000e-01,1.785714328289031982e-01
7.500000000000000000e-01,7.202148437500000000e-01,2.678571343421936035e-01
8.000000119209289551e-01,6.826171875000000000e-01,2.678571343421936035e-01
8.500000238418579102e-01,7.202148437500000000e-01,3.125000000000000000e-01
8.999999761581420898e-01,6.303710937500000000e-01,2.946428656578063965e-01
9.499999880790710449e-01,6.264648437500000000e-01,3.214285671710968018e-01
1.000000000000000000e+00,5.190429687500000000e-01,3.660714328289031982e-01
